,Author,collaborators
8637,Haihan Xiao,"['Bili Xia', 'Le Sun', 'Xia Fan', 'Yongzhang Zhu', 'Jinhong Qin', 'Chengsong Cai', 'Wei Zhao', 'Yung-Fu Chang', 'Yan Zhang', 'Xiaokui Guo', 'Ping He']"
8638,Chengsong Cai,"['Bili Xia', 'Le Sun', 'Xia Fan', 'Haihan Xiao', 'Yongzhang Zhu', 'Jinhong Qin', 'Wei Zhao', 'Yung-Fu Chang', 'Yan Zhang', 'Xiaokui Guo', 'Ping He']"
8639,Direk Sutdan,"['Galayanee Doungchawee', 'Kannika Niwatayakul', 'Tasanee Inwisai', 'Athisri Sitthipunya', 'Naphatsawan Boonsathorn', 'Titipatima Sakulterdkiat', 'Worachart Sirawaraporn', 'Visith Thongboonkerd']"
8640,Athisri Sitthipunya,"['Galayanee Doungchawee', 'Direk Sutdan', 'Kannika Niwatayakul', 'Tasanee Inwisai', 'Naphatsawan Boonsathorn', 'Titipatima Sakulterdkiat', 'Worachart Sirawaraporn', 'Visith Thongboonkerd']"
8641,Titipatima Sakulterdkiat,"['Galayanee Doungchawee', 'Direk Sutdan', 'Kannika Niwatayakul', 'Tasanee Inwisai', 'Athisri Sitthipunya', 'Naphatsawan Boonsathorn', 'Worachart Sirawaraporn', 'Visith Thongboonkerd']"
8642,Worachart Sirawaraporn,"['Galayanee Doungchawee', 'Direk Sutdan', 'Kannika Niwatayakul', 'Tasanee Inwisai', 'Athisri Sitthipunya', 'Naphatsawan Boonsathorn', 'Titipatima Sakulterdkiat', 'Visith Thongboonkerd']"
8643,Andrea M Spiri,"['Sabrina Rodriguez-Campos', 'José M Matos', 'Tony M Glaus', 'Barbara Riond', 'Claudia E Reusch', 'Regina Hofmann-Lehmann', 'Barbara Willi']"
8644,José M Matos,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'Tony M Glaus', 'Barbara Riond', 'Claudia E Reusch', 'Regina Hofmann-Lehmann', 'Barbara Willi']"
8645,Tony M Glaus,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'José M Matos', 'Barbara Riond', 'Claudia E Reusch', 'Regina Hofmann-Lehmann', 'Barbara Willi']"
8646,Barbara Riond,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'José M Matos', 'Tony M Glaus', 'Claudia E Reusch', 'Regina Hofmann-Lehmann', 'Barbara Willi']"
8647,Claudia E Reusch,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'José M Matos', 'Tony M Glaus', 'Barbara Riond', 'Regina Hofmann-Lehmann', 'Barbara Willi']"
8648,Regina Hofmann-Lehmann,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'José M Matos', 'Tony M Glaus', 'Barbara Riond', 'Claudia E Reusch', 'Barbara Willi']"
8649,Barbara Willi,"['Andrea M Spiri', 'Sabrina Rodriguez-Campos', 'José M Matos', 'Tony M Glaus', 'Barbara Riond', 'Claudia E Reusch', 'Regina Hofmann-Lehmann']"
8650,Peili Li,"['Shijun Li', 'Lei Zhang', 'Weilin Hu', 'Ming Wang', 'Ying Liu', 'Guangpeng Tang', 'Dingming Wang', 'Bijun Zhou', 'Jie Yan']"
8651,Lei Zhang,"['Shijun Li', 'Peili Li', 'Weilin Hu', 'Ming Wang', 'Ying Liu', 'Guangpeng Tang', 'Dingming Wang', 'Bijun Zhou', 'Jie Yan']"
8652,Ming Wang,"['Shi Jun Li', 'Cui Cai Zhang', 'Xiu Wen Li', 'Ke Cheng Tian', 'Guang Peng Tang', 'Ding Ming Wang', 'Ying Liu', 'Yi Xin Nie', 'Xiu Gao Jiang', 'Shijun Li', 'Peili Li', 'Lei Zhang', 'Weilin Hu', 'Guangpeng Tang', 'Dingming Wang', 'Bijun Zhou', 'Jie Yan', 'David M Ojcius', 'Qing Ma']"
8653,Bijun Zhou,"['Shijun Li', 'Peili Li', 'Lei Zhang', 'Weilin Hu', 'Ming Wang', 'Ying Liu', 'Guangpeng Tang', 'Dingming Wang', 'Jie Yan', 'David M Ojcius', 'Qing Ma']"
8654,S Cleaveland,"['J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8655,J Sharp,"['S Cleaveland', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday', 'Michael J Maze', 'Shama Cash-Goldwasser', 'Matthew P Rubach', 'Holly M Biggs', 'Renee L Galloway', 'Katrina J Sharples', 'Kathryn J Allan', 'Jo E B Halliday', 'Sarah Cleaveland', 'Michael C Shand', 'Charles Muiruri', 'Rudovick R Kazwala', 'Wilbrod Saganda', 'Bingileki F Lwezaula', 'Blandina T Mmbaga', 'Venance P Maro', 'John A Crump', 'M J Maze', 'K J Sharples', 'William A de Glanville', 'Tito Kibona', 'Matthew R Schofield', 'Renee Galloway']"
8656,B Abela-Ridder,"['S Cleaveland', 'J Sharp', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8657,K J Allan,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday', 'M J Maze', 'K J Sharples']"
8658,J Buza,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8659,J A Crump,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday', 'M J Maze', 'K J Sharples']"
8660,A Davis,"['M A Davis', 'J F Evermann', 'C R Petersen', 'J VancerSchalie', 'T E Besser', 'J Huckabee', 'J B Daniels', 'D D Hancock', 'M Leslie', 'R Baer', 'S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8661,V J Del Rio Vilas,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8662,W A de Glanville,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8663,R R Kazwala,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8664,T Kibona,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8665,F J Lankester,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8666,A Lugelo,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8667,B T Mmbaga,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8668,M P Rubach,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson', 'J E B Halliday', 'M J Maze', 'K J Sharples']"
8669,L Waldman,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'D T Haydon', 'K Hampson', 'J E B Halliday']"
8670,D T Haydon,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'K Hampson', 'J E B Halliday']"
8671,K Hampson,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'J E B Halliday']"
8672,J E B Halliday,"['S Cleaveland', 'J Sharp', 'B Abela-Ridder', 'K J Allan', 'J Buza', 'J A Crump', 'A Davis', 'V J Del Rio Vilas', 'W A de Glanville', 'R R Kazwala', 'T Kibona', 'F J Lankester', 'A Lugelo', 'B T Mmbaga', 'M P Rubach', 'E S Swai', 'L Waldman', 'D T Haydon', 'K Hampson']"
8673,Jorge Velasco-Hernandez,"['Maria Cristina Schneider', 'Kyung-Duk Min', 'Deise Galan Leonel', 'David Baca-Carrasco', 'Matthew E Gompper', 'Rudy Hartskeerl', 'Claudia Munoz-Zanzi']"
8674,Kyung-Duk Min,"['Maria Cristina Schneider', 'Jorge Velasco-Hernandez', 'Deise Galan Leonel', 'David Baca-Carrasco', 'Matthew E Gompper', 'Rudy Hartskeerl', 'Claudia Munoz-Zanzi']"
8675,Deise Galan Leonel,"['Maria Cristina Schneider', 'Jorge Velasco-Hernandez', 'Kyung-Duk Min', 'David Baca-Carrasco', 'Matthew E Gompper', 'Rudy Hartskeerl', 'Claudia Munoz-Zanzi']"
8676,David Baca-Carrasco,"['Maria Cristina Schneider', 'Jorge Velasco-Hernandez', 'Kyung-Duk Min', 'Deise Galan Leonel', 'Matthew E Gompper', 'Rudy Hartskeerl', 'Claudia Munoz-Zanzi']"
8677,Matthew E Gompper,"['Maria Cristina Schneider', 'Jorge Velasco-Hernandez', 'Kyung-Duk Min', 'Deise Galan Leonel', 'David Baca-Carrasco', 'Rudy Hartskeerl', 'Claudia Munoz-Zanzi', 'Aniruddha V Belsare', 'Meghan Mason']"
8678,Claudia Munoz-Zanzi,"['Maria Cristina Schneider', 'Jorge Velasco-Hernandez', 'Kyung-Duk Min', 'Deise Galan Leonel', 'David Baca-Carrasco', 'Matthew E Gompper', 'Rudy Hartskeerl', 'Martha Maria Pereira', 'Federico Costa', 'Jackie Benschop', 'Julio Martinez', 'Michel Jancloes', 'Eric Bertherat', 'Anthony Zhenhuan Zhang', 'Diana Negoescu', 'Emily Groene', 'Bozena M Morawski', 'Kimberly Bonner', 'Aniruddha V Belsare', 'Meghan Mason', 'Pablo Uribe-Restrepo', 'Piedad Agudelo-Flórez']"
8679,Yadav Prasad Joshi,"['Eun-Hye Kim', 'Hae-Kwan Cheong']"
8680,Eun-Hye Kim,"['Yadav Prasad Joshi', 'Hae-Kwan Cheong']"
8681,Hae-Kwan Cheong,"['Yadav Prasad Joshi', 'Eun-Hye Kim']"
8682,Priscila R M Pereira,"['Luis G V Fernandes', 'Gisele O de Souza', 'Silvio A Vasconcellos', 'Marcos B Heinemann', 'Eliete C Romero', 'Ana L T O Nascimento', 'Jadson V Santos', 'Gabriela Hase Siqueira', 'Antônio Souza Filho', 'Erica G B Chapola']"
8683,Fernanda Nogales da Costa Vasconcelos,"['Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8684,Nikolas Koshiyama Maciel,"['Fernanda Nogales da Costa Vasconcelos', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8685,Denize Cristina Favaro,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8686,Luciana Coutinho de Oliveira,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8687,Roberto Kopke Salinas,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Robson Francisco de Souza', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8688,Robson Francisco de Souza,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Chuck Shaker Farah', 'Cristiane Rodrigues Guzzo']"
8689,Chuck Shaker Farah,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Cristiane Rodrigues Guzzo']"
8690,Cristiane Rodrigues Guzzo,"['Fernanda Nogales da Costa Vasconcelos', 'Nikolas Koshiyama Maciel', 'Denize Cristina Favaro', 'Luciana Coutinho de Oliveira', 'Angela Silva Barbosa', 'Roberto Kopke Salinas', 'Robson Francisco de Souza', 'Chuck Shaker Farah']"
8691,Marcelo Pérez Carvajal,['Kaila A Fagerstrom']
8692,Kaila A Fagerstrom,['Marcelo Pérez Carvajal']
8693,Kayanam Vijaya Lalitha Aishwarya,"['Murugesan Kanagavel', 'Santhanam Shanmughapriya', 'Karuppiah Ponmurugan', 'Kasi Murugan', 'Naif Abdullah Al-Dhabi', 'Kalimuthusamy Natarajaseenivasan']"
8694,Karuppiah Ponmurugan,"['Murugesan Kanagavel', 'Santhanam Shanmughapriya', 'Kayanam Vijaya Lalitha Aishwarya', 'Kasi Murugan', 'Naif Abdullah Al-Dhabi', 'Kalimuthusamy Natarajaseenivasan']"
8695,Kasi Murugan,"['Murugesan Kanagavel', 'Santhanam Shanmughapriya', 'Kayanam Vijaya Lalitha Aishwarya', 'Karuppiah Ponmurugan', 'Naif Abdullah Al-Dhabi', 'Kalimuthusamy Natarajaseenivasan']"
8696,Naif Abdullah Al-Dhabi,"['Murugesan Kanagavel', 'Santhanam Shanmughapriya', 'Kayanam Vijaya Lalitha Aishwarya', 'Karuppiah Ponmurugan', 'Kasi Murugan', 'Kalimuthusamy Natarajaseenivasan']"
8697,Maria Raquel V Cosate,"['Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8698,Tetsu Sakamoto,"['Maria Raquel V Cosate', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8699,Tiago Antônio de Oliveira Mendes,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8700,Élvio C Moreira,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8701,Carlos G Regis da Silva,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8702,Bruno S A F Brasil,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8703,Camila S F Oliveira,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8704,Vasco Ariston de Azevedo,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'José Miguel Ortega', 'Rômulo C Leite', 'João Paulo Haddad']"
8705,José Miguel Ortega,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'Rômulo C Leite', 'João Paulo Haddad']"
8706,Rômulo C Leite,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'João Paulo Haddad']"
8707,João Paulo Haddad,"['Maria Raquel V Cosate', 'Tetsu Sakamoto', 'Tiago Antônio de Oliveira Mendes', 'Élvio C Moreira', 'Carlos G Regis da Silva', 'Bruno S A F Brasil', 'Camila S F Oliveira', 'Vasco Ariston de Azevedo', 'José Miguel Ortega', 'Rômulo C Leite']"
8708,A Sathiyamoorthy,"['G Selvaraju', 'K M Palanivel', 'And P Srinivasan']"
8709,G Selvaraju,"['A Sathiyamoorthy', 'K M Palanivel', 'And P Srinivasan']"
8710,And P Srinivasan,"['A Sathiyamoorthy', 'G Selvaraju', 'K M Palanivel']"
8711,Christophe Courdurie,"['Yohann Le Govic', 'Pascale Bourhy', 'Dorothee Alexer', 'Karine Pailla', 'Rafaelle Theodose', 'Raymond Cesaire', 'Jacques Rosine', 'Patrick Hochedez', 'Claude Olive']"
8712,Yohann Le Govic,"['Christophe Courdurie', 'Pascale Bourhy', 'Dorothee Alexer', 'Karine Pailla', 'Rafaelle Theodose', 'Raymond Cesaire', 'Jacques Rosine', 'Patrick Hochedez', 'Claude Olive']"
8713,Dorothee Alexer,"['Christophe Courdurie', 'Yohann Le Govic', 'Pascale Bourhy', 'Karine Pailla', 'Rafaelle Theodose', 'Raymond Cesaire', 'Jacques Rosine', 'Patrick Hochedez', 'Claude Olive']"
8714,Karine Pailla,"['Christophe Courdurie', 'Yohann Le Govic', 'Pascale Bourhy', 'Dorothee Alexer', 'Rafaelle Theodose', 'Raymond Cesaire', 'Jacques Rosine', 'Patrick Hochedez', 'Claude Olive']"
8715,Raymond Cesaire,"['Christophe Courdurie', 'Yohann Le Govic', 'Pascale Bourhy', 'Dorothee Alexer', 'Karine Pailla', 'Rafaelle Theodose', 'Jacques Rosine', 'Patrick Hochedez', 'Claude Olive']"
8716,Vaea Richard,"['Vanina Guernier', 'Tuxuan Nhan', 'Eline Rouault', 'Anita Tessier', 'Didier Musso']"
8717,Tuxuan Nhan,"['Vanina Guernier', 'Vaea Richard', 'Eline Rouault', 'Anita Tessier', 'Didier Musso']"
8718,Eline Rouault,"['Vanina Guernier', 'Vaea Richard', 'Tuxuan Nhan', 'Anita Tessier', 'Didier Musso']"
8719,Anita Tessier,"['Vanina Guernier', 'Vaea Richard', 'Tuxuan Nhan', 'Eline Rouault', 'Didier Musso']"
8720,Jeyanthi Suppiah,"['Shie-Yien Chan', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8721,Shie-Yien Chan,"['Jeyanthi Suppiah', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8722,Min-Wern Ng,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8723,Yam-Sim Khaw,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Min-Wern Ng', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8724,Siew-Mooi Ching,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8725,Lailatul Akmar Mat-Nor,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Naematul Ain Ahmad-Najimudin', 'Hui-Yee Chee']"
8726,Naematul Ain Ahmad-Najimudin,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Hui-Yee Chee']"
8727,Hui-Yee Chee,"['Jeyanthi Suppiah', 'Shie-Yien Chan', 'Min-Wern Ng', 'Yam-Sim Khaw', 'Siew-Mooi Ching', 'Lailatul Akmar Mat-Nor', 'Naematul Ain Ahmad-Najimudin']"
8728,C Ensuncho-Hoyos,"['V Rodríguez-Rodríguez', 'A Pérez-Doria', 'O Vergara', 'A Calderón-Rangel']"
8729,V Rodríguez-Rodríguez,"['C Ensuncho-Hoyos', 'A Pérez-Doria', 'O Vergara', 'A Calderón-Rangel']"
8730,A Pérez-Doria,"['C Ensuncho-Hoyos', 'V Rodríguez-Rodríguez', 'O Vergara', 'A Calderón-Rangel']"
8731,O Vergara,"['C Ensuncho-Hoyos', 'V Rodríguez-Rodríguez', 'A Pérez-Doria', 'A Calderón-Rangel']"
8732,A Calderón-Rangel,"['C Ensuncho-Hoyos', 'V Rodríguez-Rodríguez', 'A Pérez-Doria', 'O Vergara']"
8733,Wendy J Zochowski,"['Venkat Sivaprakasam', 'Martin F Palmer']"
8734,Martin F Palmer,"['Venkat Sivaprakasam', 'Wendy J Zochowski']"
8735,Jillian Hurd,"['Olaf Berke', 'Zvonimir Poljak', 'Martin Runge']"
8736,Zvonimir Poljak,"['Jillian Hurd', 'Olaf Berke', 'Martin Runge']"
8737,Martin Runge,"['Jillian Hurd', 'Olaf Berke', 'Zvonimir Poljak', 'Lisa H Nau', 'Duygu Emirhar', 'Anna Obiegala', 'Maren Mylius', 'Jens Jacob', 'Nadja Bier', 'Karsten Nöckler', 'Christian Imholt', 'Diana Below', 'Christina Princk', 'Johannes Dreesman', 'Rainer G Ulrich', 'Martin Pfeffer', 'Anne Mayer-Scholl', 'Salla Toikkanen', 'Leonhard Hamschmidt', 'Berthold Lüsse', 'Jona F Freise', 'Joachim Ehlers', 'Carolin Knorr', 'Barbara Keller']"
8738,Anna Modrak-Wójcik,"['Joanna Krajewska', 'Zbigniew J Arent', 'Daniel Więckowski', 'Michal Zolkiewski', 'Agnieszka Bzowska', 'Sabina Kędzierska-Mieszkowska']"
8739,Zbigniew J Arent,"['Joanna Krajewska', 'Anna Modrak-Wójcik', 'Daniel Więckowski', 'Michal Zolkiewski', 'Agnieszka Bzowska', 'Sabina Kędzierska-Mieszkowska']"
8740,Agnieszka Bzowska,"['Joanna Krajewska', 'Anna Modrak-Wójcik', 'Zbigniew J Arent', 'Daniel Więckowski', 'Michal Zolkiewski', 'Sabina Kędzierska-Mieszkowska']"
8741,Shi-Jun Li,"['Xu Chen', 'David M Ojcius', 'Ai-Hua Sun', 'Wei-Lin Hu', ""Xu'ai Lin"", 'Jie Yan', 'Peng Du', 'Kai-Xuan Li', 'Yang Li', 'Jia-Qi Fang', 'Yu-Mei Ge']"
